Petrobras PN;;;;;;;;;;Economatica
;;;;;;;;;;
;;;;;;;;;;
Data;"Fechamento
ajust p/ prov
USD>C100
AGG";"Fechamento
ajust p/ prov
CZRE>C100
IPCA+7%";"Fechamento
ajust p/ prov
CZRE>C100
CDI Acumulado";"Fechamento
ajust p/ prov
CZRE>C100
IBXX";"Fechamento
ajust p/ prov
CZRE>C100
IDA DI";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B 5";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B";"Fechamento
ajust p/ prov
CZRE>C100
IFIX";"Fechamento
ajust p/ prov
CZRE>C100
IRF-M";"Fechamento
ajust p/ prov
USD>C100
S&P 500"
Jan-2017;161,1274127;452,2535687;397,8854044;367,0441989;253,7730291;481,4313263;517,6788282;193,4;460,2869563;194,1413505
Fev-2017;162,1681545;455,9441586;401,3223873;379,1712707;256,4066169;488,614836;537,6045651;202,8;469,554194;201,363071
Mar-2017;162,0789371;459,9153345;405,5379399;370,2486188;259,7033326;495,4111399;543,2214696;203,2;476,6171182;201,2846944
Abr-2017;163,5496081;462,7903754;408,7226106;373,4944751;262,0150797;498,9277073;541,4729337;203,5;479,1656942;203,1146172
Mai-2017;164,6735471;466,9751812;412,5055628;359,8342541;264,8376889;499,3482447;535,0388905;205,6;480,6125804;205,4659147
Jun-2017;164,643705;468,535411;415,8390148;360,9116022;267,1880711;501,9678959;535,9188261;207,4;487,1083549;206,4549931
Jul-2017;165,193851;472,3154214;419,1538889;378,6325967;269,7123473;516,2558465;557,3426784;206,6;498,3446032;210,4496431
Ago-2017;166,7486291;476,1440428;422,5132068;406,4627072;272,1826854;522,7328654;564,826759;208,4;503,6136799;210,5646522
Set-2017;165,7951353;479,4736188;425,207653;425,5330111;274,1319507;527,994852;575,0546936;222,105;511,0616561;214,6291595
Out-2017;165,9577776;484,2098078;427,9423733;424,985221;276,0757526;530,5500137;572,8593558;222,626;511,5857171;219,3913888
Nov-2017;165,7116681;488,0489139;430,3707422;410,626105;277,7624178;531,0951137;568,5018265;221,308;512,0268098;225,5524697
Dez-2017;166,6518094;492,703331;432,6846648;436,6850829;279,3453562;535,7884247;573,2100858;222,646;518,4014116;227,7700159
Jan-2018;164,7769194;496,9260657;435,2088864;483,6040055;281,3124286;542,9335241;592,7066051;228,523;525,1328869;240,5658449
Fev-2018;163,114502;500,9312697;437,232291;485,6178177;282,8198624;545,8607853;595,9581935;231,141;530,9214077;231,1964356
Mar-2018;164,2093165;504,2169952;439,5564291;486,0009669;284,6058223;554,7047851;601,5335244;235,754;537,9476406;224,9808318
Abr-2018;162,6645618;508,1834608;441,8311897;489,9733425;286,3598122;557,0428473;600,6684723;233,725;540,4556971;225,5925099
Mai-2018;163,7412985;513,1010311;444,1177226;436,5266575;288,0872272;548,3678307;581,7058187;221,411;530,4392752;230,4706003
Jun-2018;163,9097669;522,5038065;446,4160893;413,8504144;289,0848499;550,8336753;579,8439563;212,522;530,673735;231,583207
Jul-2018;163,8621239;527,1921308;448,8366602;450,4174033;291,0709812;558,9666841;593,268812;215,445;538,4982104;239,9252015
Ago-2018;164,7932998;529,980305;451,3812916;436,3399171;292,9858312;557,5377095;590,6127825;213,94;533,489078;247,1861103
Set-2018;163,7727065;535,2476889;453,4942558;450,431768;294,5979847;562,4744589;589,730588;213,481;540,4017895;248,2476019
Out-2018;162,7172226;540,8414796;455,9569474;497,3662983;296,4901566;579,9026618;631,8336369;224,245;559,8253275;231,0183844
Nov-2018;163,5692864;542,465919;458,207361;510,6051105;298,183956;580,7307494;637,5482163;230,048;565,3650183;235,14423
Dez-2018;166,8099004;545,9115127;460,4688807;504,0252762;299,9840842;588,6465589;648,0640901;235,159;574,0371064;213,5634084
Jan-2019;168,3293445;550,75497;462,969447;558,0236188;301,947558;597,709394;676,3592418;240,969;582,0019129;230,367518
Fev-2019;168,1382994;556,1013296;465,2544717;548,1870166;303,7250854;600,9744247;680,0557049;243,456;583,7080153;237,2160979
Mar-2019;171,7069369;563,1374783;467,4356903;547,5600829;305,3329825;605,688878;683,9992224;248,293;587,1346534;241,4680275
Abr-2019;171,362799;569,5495722;469,8584117;553,3470995;307,1891368;612,3853508;694,2955438;250,845;590,6919615;250,9609651
Mai-2019;174,6377568;573,668491;472,4099688;559,6622928;308,9612136;620,8694247;719,7345195;255,269;601,1431809;234,4533233
Jun-2019;176,5565467;576,6600529;474,6247355;582,598895;310,4669415;631,5233569;746,6126667;262,61;614,1083507;250,6142339
Jul-2019;176,8775039;581,1784397;477,3196639;589,4017956;312,346616;637,6747699;756,2234229;265,955;620,784102;253,9043465
Ago-2019;181,80031;585,2645326;479,7144313;588,4360497;313,9427949;637,9922154;753,1843132;265,669;622,3964932;249,3107972
Set-2019;180,6880288;588,3382739;481,9391392;607,343232;315,4147704;649,0896628;774,7347901;268,426;631,3599526;253,5916921
Out-2019;181,0645278;592,5746001;484,2489208;620,7164365;315,6128667;659,8128683;800,7867784;279,198;642,0710512;258,7756215
Nov-2019;181,0025658;598,6427796;486,0909217;626,7259669;315,3967712;657,9512687;781,1309693;289,026;639,1184076;267,5861716
Dez-2019;180,9166206;608,6240074;487,9122901;672,3124309;316,762208;666,0781612;796,7971616;319,758;643,0947472;275,2364076
Jan-2020;184,5874393;613,5152917;489,7498831;663,8830111;318,3543386;669,7848386;798,8796477;307,728;648,7352547;274,788298
Fev-2020;187,5132805;618,0286589;491,1884122;609,3085635;319,3355591;674,0848908;802,4698547;296,381;652,95601;251,6748735
Mar-2020;186,5254844;622,125159;492,8504461;425,9744475;303,7918359;662,255831;746,5204645;249,41;652,2588325;220,1862296
Abr-2020;189,7314436;623,5358191;494,2547059;469,7074586;305,2753746;665,4887685;756,3314326;260,362;659,7545857;248,1155543
Mai-2020;191,0080184;624,5108526;495,4201951;509,7133978;307,6517814;679,5997613;767,8153658;265,768;669,1125737;259,3506671
Jun-2020;192,266267;629,6748367;496,4721103;555,428453;310,777912;687,1901407;783,541637;280,628;674,3695519;264,1197117
Jul-2020;194,8293336;635,8561022;497,4369492;602,165884;315,3346895;693,9914431;817,9083535;273,312;681,6781865;278,6730504
Ago-2020;193,2252992;640,9860084;498,2323151;581,8407459;318,0287647;696,9504371;803,2067087;278,21;676,5650961;298,1981905
Set-2020;193,0376279;648,7357419;499,0143957;555,1878453;319,7019756;696,0894123;791,0637768;279,488;672,7742788;286,5004856
Out-2020;191,9594024;658,0144607;499,7977035;552,1504144;320,6974027;697,4881886;792,7404699;276,676;670,5665335;278,5742277
Nov-2020;194,2759885;667,4451871;500,5448551;637,5016575;322,0107024;706,6938762;808,5932655;280,856;672,9938532;308,5336764
Dez-2020;194,4429431;680,0978544;501,3680124;695,8468232;323,5540688;719,6238171;847,8368338;287,015;686,1475794;319,9868804
